product_name,price,source,product_url,image_url
"Toyshine English, Maths Learning Laptop for Kids With Mouse and 78 Activities","Rs. 1,299",amazon.in,https://www.amazon.in/Toyshine-English-Learning-Laptop-Activities/dp/B0767F5BYR/ref=sr_1_17?ie=UTF8&qid=1509429571&sr=8-17&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/41HzNzLCA3L._AC_US218_.jpg
Samsung S19F350HNW 18.5-inch AH IPS LED Monitor (Black)[NOT A TV],"Rs. 5,725",amazon.in,https://www.amazon.in/Samsung-S19F350HNW-18-5-inch-Monitor-Black/dp/B01DP5M4TQ/ref=sr_1_18?ie=UTF8&qid=1509429571&sr=8-18&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/51vQoTgPckL._AC_US218_.jpg
TECH SHOP Power Cable Cord Compatible With Monitor / CPU / PC / Computer / Printer / Desktop / SMPS lack - 1.5m,Rs. 249,amazon.in,https://www.amazon.in/TECH-SHOP-Power-Cable-Desktop/dp/B075WW1QBW/ref=sr_1_20?ie=UTF8&qid=1509429571&sr=8-20&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/41ZB+MyQn0L._AC_US218_.jpg
Nallu Assembled 15.6-inch All-in-One Desktop (Core 2 Duo/2GB/250GB/DVD RW/Windows 7 Trial),"Rs. 11,499",amazon.in,https://www.amazon.in/Nallu-Assembled-15-6-inch-Desktop-Windows/dp/B01CR0QP7C/ref=sr_1_21?ie=UTF8&qid=1509429571&sr=8-21&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/31lsuqVQlUL._AC_US218_.jpg
Gizga Essentials Ergonomic Height Adjustable Foldable Multi-Function Portable Laptop Table,Rs. 999,amazon.in,https://www.amazon.in/Essentials-Ergonomic-Adjustable-Foldable-Multi-Function/dp/B01NBOQ8RV/ref=sr_1_22?ie=UTF8&qid=1509429571&sr=8-22&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/51Y-okYIivL._AC_US218_.jpg
"eErlik External 2.5 "" inch Sata Casing HARD Disk Drive Usb portable HDD CASE Enclosure for Laptop- silver",Rs. 399,amazon.in,https://www.amazon.in/eErlik-External-portable-Enclosure-Laptop/dp/B076HMS538/ref=sr_1_23?ie=UTF8&qid=1509429571&sr=8-23&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/418fJ7jiKNL._AC_US218_.jpg
Quantum QHM495LM 25MP Web Camera,Rs. 420,amazon.in,https://www.amazon.in/Quantum-QHM495LM-25MP-Web-Camera/dp/B00L5AWKUM/ref=sr_1_24?ie=UTF8&qid=1509429571&sr=8-24&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/41Z-JCPiFxL._AC_US218_.jpg
"Raspberry Pi 3: The Ultimate Guide to the World of Raspberry Pi 3, Python, Programming, Micro Computer (Simple Step By Step Guide for Beginners, Raspberry Pi 3 for Dummies, Raspberry Pi 3 Projects)",Rs. 0,amazon.in,https://www.amazon.in/Raspberry-Pi-Ultimate-Programming-Beginners-ebook/dp/B076J933P6/ref=sr_1_25?ie=UTF8&qid=1509429571&sr=8-25&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/419AaSP6uAL._AC_US218_.jpg
"Saco Ultra Clear Glossy HD Screen Guard Scratch Protector for Lenovo Yoga 710 14 - 14"" FHD Touch Laptop",Rs. 450,amazon.in,https://www.amazon.in/Saco-Glossy-Screen-Scratch-Protector/dp/B01KC6O19W/ref=sr_1_26?ie=UTF8&qid=1509429571&sr=8-26&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/51J-JvD+eLL._AC_US218_.jpg
Smart Shelter Portable Height Adjustable Laptop Table / Study Table,"Rs. 2,799",amazon.in,https://www.amazon.in/Smart-Shelter-Portable-Height-Adjustable/dp/B01N4A5QYH/ref=sr_1_27?ie=UTF8&qid=1509429571&sr=8-27&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/41wpMsIAi7L._AC_US218_.jpg
Computer,Rs. 39,amazon.in,https://www.amazon.in/Computer-Rani-Ahilya/dp/9384761117/ref=sr_1_28?ie=UTF8&qid=1509429571&sr=8-28&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/41CM12b527L._AC_US218_.jpg
"TECH SHOP 15 Pin Male To Male 1.5 Meter VGA Cable For Computer monitors, Televisions,Desktop, Laptop, Projector, LEDs, LCDs",Rs. 249,amazon.in,https://www.amazon.in/TECH-SHOP-VGA-Cable-Televisions/dp/B075WW758R/ref=sr_1_29?ie=UTF8&qid=1509429571&sr=8-29&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/51YnJPBf04L._AC_US218_.jpg
"Wi-Fi Receiver 300Mbps, 2.4GHz, 802.11b/g/n USB 2.0 Wireless Mini Wi-Fi Network Adapter",Rs. 270,amazon.in,https://www.amazon.in/Receiver-300Mbps-802-11b-Wireless-Network/dp/B0141EZMAI/ref=sr_1_30?ie=UTF8&qid=1509429571&sr=8-30&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/31PdWrdo-IL._AC_US218_.jpg
iBall Decor 9 Computer Multimedia Speakers,Rs. 480,amazon.in,https://www.amazon.in/iBall-Decor-Computer-Multimedia-Speakers/dp/B017K7TO6G/ref=sr_1_31?ie=UTF8&qid=1509429571&sr=8-31&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/51bvhApRPxL._AC_US218_.jpg
Nylon Black Industrial Cable Ties Straps Tie Roll Wraps Hook Loop Fastener For Laptop Computer TV Wire Cord Management Organizer Cord Taps 195CM …,Rs. 169,amazon.in,https://www.amazon.in/Industrial-Fastener-Computer-Management-Organizer/dp/B06XCN9B6C/ref=sr_1_32?ie=UTF8&qid=1509429571&sr=8-32&keywords=computer,https://images-eu.ssl-images-amazon.com/images/I/41JP-1htRyL._AC_US218_.jpg
