product_name,price,source,product_url,image_url
Black HP Laptop,Rs. 27000,olx.in,https://www.olx.in/item/black-hp-laptop-ID1fyWbF.html#d1c6af3941,https://img01.olx.in/images_olxin/424268667_1_144x108_black-hp-laptop-ponda.jpg
Black HP Laptop 311 (with sim card slot),Rs. 12500,olx.in,https://www.olx.in/item/black-hp-laptop-311-with-sim-card-slot-ID1fyWsN.html#d1c6af3941,https://img01.olx.in/images_olxin/424271213_1_144x108_black-hp-laptop-311-with-sim-card-slot-cheruthazham.jpg
lenovo g50-70 laptop,Rs. 20000,olx.in,https://www.olx.in/item/lenovo-g50-70-laptop-ID1fyWsP.html#d1c6af3941,https://img01.olx.in/images_olxin/424271211_3_144x108_lenovo-g50-70-laptop-computers-laptops_rev004.jpg
Computer set Corei3 4gb ram 500gb hdd 15inch lcd - BM Traders,Rs. 9900,olx.in,https://www.olx.in/item/computer-set-corei3-4gb-ram-500gb-hdd-15inch-lcd-bm-traders-ID1dbrAD.html#d1c6af3941,https://img04.olx.in/images_olxin/364073505_1_144x108_computer-set-corei3-4gb-ram-500gb-hdd-15inch-lcd-bm-traders-chennai.jpg
..Dell desktop workstation model 380 l ddr3 ram 4gb,Rs. 7001,olx.in,https://www.olx.in/item/dell-desktop-workstation-model-380-l-ddr3-ram-4gb-ID1fpYsJ.html#d1c6af3941,https://img01.olx.in/images_olxin/420523077_3_144x108_dell-desktop-workstation-model-380-l-ddr3-ram-4gb-computers-laptops.jpg
Hp laptop charger original,Rs. 800,olx.in,https://www.olx.in/item/hp-laptop-charger-original-ID1fyWkf.html#d1c6af3941,https://img01.olx.in/images_olxin/424270253_1_144x108_hp-laptop-charger-original-bengaluru.jpg
Dell Gx 780 Desktop,Rs. 9000,olx.in,https://www.olx.in/item/dell-gx-780-desktop-ID1ctmnz.html#d1c6af3941,https://img01.olx.in/images_olxin/346717755_1_144x108_dell-gx-780-desktop-bengaluru.jpg
VOYO VBOOK V2 Apollo Lake N3450 4G RAM 64G ROM 11.6 Inch Windows 10 Ta,Rs. 21500,olx.in,https://www.olx.in/item/voyo-vbook-v2-apollo-lake-n3450-4g-ram-64g-rom-11-6-inch-windows-10-ta-ID1fyWmn.html#d1c6af3941,https://img01.olx.in/images_olxin/424270109_2_144x108_voyo-vbook-v2-apollo-lake-n3450-4g-ram-64g-rom-116-inch-windows-10-ta-upload-photos.jpg
பழைய ஓல்டு கம்ப்யூட்டர்கள் வாங்கப்படும்,Rs. 5000,olx.in,https://www.olx.in/item/-ID1f2N9t.html#d1c6af3941,https://img01.olx.in/images_olxin/410812967_1_144x108_-chennai.jpg
Sell dell laptop original windows 7vista,Rs. 8500,olx.in,https://www.olx.in/item/sell-dell-laptop-original-windows-7vista-ID1fyWjW.html#d1c6af3941,https://img01.olx.in/images_olxin/424269469_1_144x108_sell-dell-laptop-original-windows-7vista-bidhannagar.jpg
excellent laptops core 2duo available from just rs.9999,Rs. 9999,olx.in,https://www.olx.in/item/excellent-laptops-core-2duo-available-from-just-rs-9999-IDSm9gB.html#d1c6af3941,https://img01.olx.in/images_olxin/45704999_1_144x108_excellent-laptops-core-2duo-available-from-just-rs9999-delhi_rev003.jpg
HP 15-Ay542tu (1AC81PA) Laptop (Core I3 6th Gen/4,Rs. 27000,olx.in,https://www.olx.in/item/hp-15-ay542tu-1ac81pa-laptop-core-i3-6th-gen-4-ID1fyWi7.html#d1c6af3941,https://img01.olx.in/images_olxin/424269739_1_144x108_hp-15-ay542tu-1ac81pa-laptop-core-i3-6th-gen-4-ponda.jpg
"dual core 2GB RAM 80GB hard disc831967""4435",Rs. 4000,olx.in,https://www.olx.in/item/dual-core-2gb-ram-80gb-hard-disc831967-4435-ID1faHhJ.html#d1c6af3941,https://img01.olx.in/images_olxin/414155685_1_144x108_dual-core-2gb-ram-80gb-hard-disc8319674435-gwalior.jpg
Diwali special offer for customers..,Rs. 18500,olx.in,https://www.olx.in/item/diwali-special-offer-for-customers-ID1f38Sl.html#d1c6af3941,https://img01.olx.in/images_olxin/410959917_1_144x108_diwali-special-offer-for-customers-vadodara_rev001.jpg
Desktop Computer with Scanners and Speakers,Rs. 4000,olx.in,https://www.olx.in/item/desktop-computer-with-scanners-and-speakers-ID18sIKf.html#d1c6af3941,https://img04.olx.in/images_olxin/253204087_1_144x108_desktop-computer-with-scanners-and-speakers-mohali_rev001.jpg
Hp leptop for new condition 7 8 month use only in,Rs. 23000,olx.in,https://www.olx.in/item/hp-leptop-for-new-condition-7-8-month-use-only-in-ID1fyWeH.html#d1c6af3941,https://img01.olx.in/images_olxin/424269537_1_144x108_hp-leptop-for-new-condition-7-8-month-use-only-in-manavadar.jpg
