product_name,price,source,product_url,image_url
Kenstar Cooler Slimline Super W/remote (6 month old ).,Rs. 7000,olx.in,https://www.olx.in/item/kenstar-cooler-slimline-super-w-remote-6-month-old-ID1eUO0L.html#56aefc02d9,https://img01.olx.in/images_olxin/407505969_1_144x108_kenstar-cooler-slimline-super-w-remote-6-month-old-bengaluru_rev002.jpg
cooler 2 months old,Rs. 3600,olx.in,https://www.olx.in/item/cooler-2-months-old-ID1drwyW.html#56aefc02d9,https://img03.olx.in/images_olxin/370427101_1_144x108_cooler-2-months-old-gurgaon.jpg
White Desert Cooler,Rs. 2500,olx.in,https://www.olx.in/item/white-desert-cooler-ID1fyKoL.html#56aefc02d9,https://img01.olx.in/images_olxin/424194793_1_144x108_white-desert-cooler-delhi.jpg
Symphony 50i (room cooler) with Remote,Rs. 6000,olx.in,https://www.olx.in/item/symphony-50i-room-cooler-with-remote-ID1fyJZ1.html#56aefc02d9,https://img01.olx.in/images_olxin/424192085_1_144x108_symphony-50i-room-cooler-with-remote-delhi.jpg
Blue Star Water Cooler Heater Dispenser in Excellent condition,Rs. 7500,olx.in,https://www.olx.in/item/blue-star-water-cooler-heater-dispenser-in-excellent-condition-ID1fyJrH.html#56aefc02d9,https://img01.olx.in/images_olxin/424188501_1_144x108_blue-star-water-cooler-heater-dispenser-in-excellent-condition-pune.jpg
2 year Symphony 12 litre diet cooler for sale,Rs. 4500,olx.in,https://www.olx.in/item/2-year-symphony-12-litre-diet-cooler-for-sale-ID1fyIXd.html#56aefc02d9,https://img01.olx.in/images_olxin/424185061_1_144x108_2-year-symphony-12-litre-diet-cooler-for-sale-bengaluru_rev002.jpg
White And Red Portable Air Cooler,Rs. 4000,olx.in,https://www.olx.in/item/white-and-red-portable-air-cooler-ID1fyIOP.html#56aefc02d9,https://img01.olx.in/images_olxin/424183911_1_144x108_white-and-red-portable-air-cooler-gurgaon.jpg
Grey And Brown Evaporative Air Cooler,Rs. 4500,olx.in,https://www.olx.in/item/grey-and-brown-evaporative-air-cooler-ID1fyIMH.html#56aefc02d9,https://img01.olx.in/images_olxin/424183991_1_144x108_grey-and-brown-evaporative-air-cooler-faridabad.jpg
White Classic Air Cooler,Rs. 4000,olx.in,https://www.olx.in/item/white-classic-air-cooler-ID1fyIyZ.html#56aefc02d9,https://img01.olx.in/images_olxin/424182463_1_144x108_white-classic-air-cooler-delhi.jpg
Gray Classic Air Cooler,Rs. 2200,olx.in,https://www.olx.in/item/gray-classic-air-cooler-ID1fyIhX.html#56aefc02d9,https://img01.olx.in/images_olxin/424180289_1_144x108_gray-classic-air-cooler-gurgaon.jpg
Brown And Gray Evaporative Air Cooler,Rs. 1500,olx.in,https://www.olx.in/item/brown-and-gray-evaporative-air-cooler-ID1fyIgT.html#56aefc02d9,https://img01.olx.in/images_olxin/424180325_1_144x108_brown-and-gray-evaporative-air-cooler-delhi.jpg
Two Black-and-grey CPU Coolers 2 p4 m board&cctv baloon,Rs. 2000,olx.in,https://www.olx.in/item/two-black-and-grey-cpu-coolers-2-p4-m-board-cctv-baloon-ID1fah2N.html#56aefc02d9,https://img01.olx.in/images_olxin/413974371_1_144x108_two-black-and-grey-cpu-coolers-2-p4-m-boardcctv-baloon-ahmedabad.jpg
Hardly used 12L Smphony cooler for sale. Contact,Rs. 6000,olx.in,https://www.olx.in/item/hardly-used-12l-smphony-cooler-for-sale-contact-ID1fyHSR.html#56aefc02d9,https://img01.olx.in/images_olxin/424177425_1_144x108_hardly-used-12l-smphony-cooler-for-sale-contact-kozhikode_rev002.jpg
symphony winter i digital model cooler with,Rs. 8000,olx.in,https://www.olx.in/item/symphony-winter-i-digital-model-cooler-with-ID1fyHBX.html#56aefc02d9,https://img01.olx.in/images_olxin/424175631_1_144x108_symphony-winter-i-digital-model-cooler-with-delhi.jpg
Gray And Black Evaporative Cooler,Rs. 3800,olx.in,https://www.olx.in/item/gray-and-black-evaporative-cooler-ID1fyHfL.html#56aefc02d9,https://img01.olx.in/images_olxin/424173049_1_144x108_gray-and-black-evaporative-cooler-jalandhar.jpg
Crompton Cooler (Awesome Cooling) {Selling only,Rs. 3000,olx.in,https://www.olx.in/item/crompton-cooler-awesome-cooling-selling-only-ID1f1Bww.html#56aefc02d9,https://img01.olx.in/images_olxin/410321075_1_144x108_crompton-cooler-awesome-cooling-selling-only-chennai.jpg
Kenstar cooler with small swing switch problem,Rs. 4000,olx.in,https://www.olx.in/item/kenstar-cooler-with-small-swing-switch-problem-ID1fyGjP.html#56aefc02d9,https://img01.olx.in/images_olxin/424166439_1_144x108_kenstar-cooler-with-small-swing-switch-problem-visakhpatnam.jpg
working good condition cooler,Rs. 3500,olx.in,https://www.olx.in/item/working-good-condition-cooler-ID1cpS07.html#56aefc02d9,https://img04.olx.in/images_olxin/345359259_1_144x108_working-good-condition-cooler-amritsar.jpg
"Cooler- in its best condition, at a very nominal price",Rs. 3000,olx.in,https://www.olx.in/item/cooler-in-its-best-condition-at-a-very-nominal-price-ID1fmsjN.html#56aefc02d9,https://img01.olx.in/images_olxin/419041595_1_144x108_cooler-in-its-best-condition-at-a-very-nominal-price-ambala_rev001.jpg
Plastic hotstar cooler,Rs. 1400,olx.in,https://www.olx.in/item/plastic-hotstar-cooler-ID1faZZZ.html#56aefc02d9,https://img01.olx.in/images_olxin/414279915_1_144x108_plastic-hotstar-cooler-delhi.jpg
air cooler,Rs. 6000,olx.in,https://www.olx.in/item/air-cooler-ID1fyEPl.html#56aefc02d9,https://img01.olx.in/images_olxin/424155939_1_144x108_air-cooler-bengaluru.jpg
Gray Evaporative Air Cooler,Rs. 1500,olx.in,https://www.olx.in/item/gray-evaporative-air-cooler-ID1fyEMz.html#56aefc02d9,https://img01.olx.in/images_olxin/424155239_1_144x108_gray-evaporative-air-cooler-baddi.jpg
4months old cooler in a good condition.. stand,Rs. 2500,olx.in,https://www.olx.in/item/4months-old-cooler-in-a-good-condition-stand-ID1fyEKF.html#56aefc02d9,https://img01.olx.in/images_olxin/424155113_1_144x108_4months-old-cooler-in-a-good-condition-stand-delhi.jpg
"Power Recliner Chair with Massage ,LED and Cup Cooler",Rs. 35000,olx.in,https://www.olx.in/item/power-recliner-chair-with-massage-led-and-cup-cooler-ID1fyEIp.html#56aefc02d9,https://img01.olx.in/images_olxin/424154199_1_144x108_power-recliner-chair-with-massage-led-and-cup-cooler-hyderabad_rev001.jpg
Everest Brand Pepsi Visi Cooler good working condition,Rs. 16000,olx.in,https://www.olx.in/item/everest-brand-pepsi-visi-cooler-good-working-condition-ID1fyDZH.html#56aefc02d9,https://img01.olx.in/images_olxin/424150095_1_144x108_everest-brand-pepsi-visi-cooler-good-working-condition-kalaburagi.jpg
Sparsely used air-cooler in good condition,Rs. 2000,olx.in,https://www.olx.in/item/sparsely-used-air-cooler-in-good-condition-ID1fyDe1.html#56aefc02d9,https://img01.olx.in/images_olxin/424144737_1_144x108_sparsely-used-air-cooler-in-good-condition-bengaluru.jpg
White Air Cooler,Rs. 2000,olx.in,https://www.olx.in/item/white-air-cooler-ID1fyD8T.html#56aefc02d9,https://img01.olx.in/images_olxin/424144133_1_144x108_white-air-cooler-bengaluru.jpg
mini cooler 1 month old in good condition,Rs. 500,olx.in,https://www.olx.in/item/mini-cooler-1-month-old-in-good-condition-ID1fyD7z.html#56aefc02d9,https://img01.olx.in/images_olxin/424143943_1_144x108_mini-cooler-1-month-old-in-good-condition-kolkata.jpg
Black Desert Cooler,Rs. 2400,olx.in,https://www.olx.in/item/black-desert-cooler-ID1fyD53.html#56aefc02d9,https://img01.olx.in/images_olxin/424143531_1_144x108_black-desert-cooler-allahabad.jpg
White Stellaz ZX Air Cooler,Rs. 6000,olx.in,https://www.olx.in/item/white-stellaz-zx-air-cooler-ID1fyD2W.html#56aefc02d9,https://img01.olx.in/images_olxin/424143317_1_144x108_white-stellaz-zx-air-cooler-madurai_rev001.jpg
White water cooler,Rs. 1800,olx.in,https://www.olx.in/item/white-water-cooler-ID1fyCuN.html#56aefc02d9,https://img01.olx.in/images_olxin/424139385_1_144x108_white-water-cooler-delhi.jpg
Red And White Desert Cooler,Rs. 6000,olx.in,https://www.olx.in/item/red-and-white-desert-cooler-ID1f1SYd.html#56aefc02d9,https://img01.olx.in/images_olxin/410436149_1_144x108_red-and-white-desert-cooler-amritsar_rev002.jpg
Cooler for sale,Rs. 1200,olx.in,https://www.olx.in/item/cooler-for-sale-ID1fyBEJ.html#56aefc02d9,https://img01.olx.in/images_olxin/424133613_2_144x108_cooler-for-sale-upload-photos_rev001.jpg
White Portable Air Cooler With Stand,Rs. 4200,olx.in,https://www.olx.in/item/white-portable-air-cooler-with-stand-ID1fyB59.html#56aefc02d9,https://img01.olx.in/images_olxin/424129619_1_144x108_white-portable-air-cooler-with-stand-nagpur.jpg
Cooler in well condition. Want to sell urgently.,Rs. 2250,olx.in,https://www.olx.in/item/cooler-in-well-condition-want-to-sell-urgently-ID1fyAXh.html#56aefc02d9,https://img01.olx.in/images_olxin/424128783_1_144x108_cooler-in-well-condition-want-to-sell-urgently-pune.jpg
well maintained one year old sympony air cooler,Rs. 7500,olx.in,https://www.olx.in/item/well-maintained-one-year-old-sympony-air-cooler-ID1fyAU7.html#56aefc02d9,https://img01.olx.in/images_olxin/424128385_1_144x108_well-maintained-one-year-old-sympony-air-cooler-bengaluru.jpg
well maintained one year old sympony air cooler,Rs. 7500,olx.in,https://www.olx.in/item/well-maintained-one-year-old-sympony-air-cooler-ID1fyAU7.html#23d3a08383,https://img01.olx.in/images_olxin/424128385_1_144x108_well-maintained-one-year-old-sympony-air-cooler-bengaluru.jpg
kenstar Turbocool Dx cooler with air swing flow,Rs. 2500,olx.in,https://www.olx.in/item/kenstar-turbocool-dx-cooler-with-air-swing-flow-ID1fyAUh.html#23d3a08383,https://img01.olx.in/images_olxin/424128449_1_144x108_kenstar-turbocool-dx-cooler-with-air-swing-flow-jharia-khas.jpg
White Portable Air Cooler,Rs. 1800,olx.in,https://www.olx.in/item/white-portable-air-cooler-ID1fyzXX.html#23d3a08383,https://img01.olx.in/images_olxin/424121827_1_144x108_white-portable-air-cooler-hyderabad.jpg
Restaurant deep freezers milk cooler & ice cream freezers,Rs. 1000,olx.in,https://www.olx.in/item/restaurant-deep-freezers-milk-cooler-ice-cream-freezers-ID1fyzUj.html#23d3a08383,https://img01.olx.in/images_olxin/424117571_2_144x108_restaurant-deep-freezers-milk-cooler-ice-cream-freezers-upload-photos_rev002.jpg
used air cooler,Rs. 3000,olx.in,https://www.olx.in/item/used-air-cooler-ID1fyzCx.html#23d3a08383,https://img01.olx.in/images_olxin/424118537_2_144x108_used-air-cooler-upload-photos.jpg
Cooler Master MasterWatt Lite 600-Watt,Rs. 4000,olx.in,https://www.olx.in/item/cooler-master-masterwatt-lite-600-watt-ID1fyzHB.html#23d3a08383,https://img01.olx.in/images_olxin/424120245_1_144x108_cooler-master-masterwatt-lite-600-watt-kayamkulam.jpg
Kenstar Air Cooler,Rs. 5000,olx.in,https://www.olx.in/item/kenstar-air-cooler-ID1fyzDX.html#23d3a08383,https://img01.olx.in/images_olxin/424119689_1_144x108_kenstar-air-cooler-chitradurga.jpg
White And Blue Air Cooler,Rs. 4000,olx.in,https://www.olx.in/item/white-and-blue-air-cooler-ID1fyzAz.html#23d3a08383,https://img01.olx.in/images_olxin/424119443_1_144x108_white-and-blue-air-cooler-delhi.jpg
White Evaporative Air Cooler,Rs. 2100,olx.in,https://www.olx.in/item/white-evaporative-air-cooler-ID1f6SuJ.html#23d3a08383,https://img01.olx.in/images_olxin/412554067_1_144x108_white-evaporative-air-cooler-chandrapur.jpg
Brand New Cooler Master Hyper 212 Red led CPU,Rs. 2600,olx.in,https://www.olx.in/item/brand-new-cooler-master-hyper-212-red-led-cpu-ID1fyyOD.html#23d3a08383,https://img01.olx.in/images_olxin/424114099_1_144x108_brand-new-cooler-master-hyper-212-red-led-cpu-bengaluru.jpg
cooler is working,Rs. 2500,olx.in,https://www.olx.in/item/cooler-is-working-ID1fyyOJ.html#23d3a08383,https://img01.olx.in/images_olxin/424113989_1_144x108_cooler-is-working-hyderabad.jpg
White And Blue Air Cooler Box,Rs. 6500,olx.in,https://www.olx.in/item/white-and-blue-air-cooler-box-ID1fyyOR.html#23d3a08383,https://img01.olx.in/images_olxin/424114195_1_144x108_white-and-blue-air-cooler-box-nagercoil.jpg
cooler is working fine..only water pump change,Rs. 400,olx.in,https://www.olx.in/item/cooler-is-working-fine-only-water-pump-change-ID1fyynD.html#23d3a08383,https://img01.olx.in/images_olxin/424111163_1_144x108_cooler-is-working-fineonly-water-pump-change-gurgaon.jpg
AMD AM3 FX4100 Quad core Processor with original cooler,Rs. 3000,olx.in,https://www.olx.in/item/amd-am3-fx4100-quad-core-processor-with-original-cooler-ID1fyyhZ.html#23d3a08383,https://img01.olx.in/images_olxin/424110603_1_144x108_amd-am3-fx4100-quad-core-processor-with-original-cooler-ernakulam.jpg
White And Grey Kenstar Portable Cooler,Rs. 3999,olx.in,https://www.olx.in/item/white-and-grey-kenstar-portable-cooler-ID1fyy5n.html#23d3a08383,https://img01.olx.in/images_olxin/424108991_1_144x108_white-and-grey-kenstar-portable-cooler-hyderabad.jpg
Modal 2017new cold cooler,Rs. 1500,olx.in,https://www.olx.in/item/modal-2017new-cold-cooler-ID1fyy3J.html#23d3a08383,https://img01.olx.in/images_olxin/424108849_1_144x108_modal-2017new-cold-cooler-barwala.jpg
symphony air cooler latest model,Rs. 7000,olx.in,https://www.olx.in/item/symphony-air-cooler-latest-model-ID1fyxP1.html#23d3a08383,https://img01.olx.in/images_olxin/424107209_1_144x108_symphony-air-cooler-latest-model-navi-mumbai_rev004.jpg
