product_name,price,source,product_url,image_url
Water Submersible Pump of Desert Air Cooler Fountain F,Rs.310,shopclues.com,http://www.shopclues.com/water-submersible-pump-of-desert-air-cooler-and-fountain-fountains-8.html,https://cdn.shopclues.com/images/thumbnails/5530/200/200/37416381030296pump137795971613786211231404182757.jpg
Water Submersible Pump for Desert Air Cooler Fountain,Rs.499,shopclues.com,http://www.shopclues.com/water-submersible-pump-for-desert-air-cooler-and-fountain-fountains-2.html,https://cdn.shopclues.com/images/thumbnails/5530/200/200/3741636pump14020876361404182513.jpg
Symphony DIET 12 T Air cooler,Rs.6290,shopclues.com,http://www.shopclues.com/symphony-diet-12-t-air-cooler-7.html,https://cdn.shopclues.com/images/thumbnails/39847/200/200/2674090diet12timages139531603413955785571466781415.jpg
Voltas Personal Cooler 34L (VD-P34MH) 34 Ltr Personal A,Rs.7490,shopclues.com,http://www.shopclues.com/voltas-personal-cooler-34l-vd-p34mh-34-ltr-personal-air-cooler-118221100.html,https://cdn.shopclues.com/images/thumbnails/69626/200/200/118221100MP0000000011546211348Wx2000H201702251813101493277439.jpg
VOLTAS (VE-D60MH) Tower Air Cooler,Rs.11290,shopclues.com,http://www.shopclues.com/voltas-ve-d60mh-tower-air-cooler-121122790.html,https://cdn.shopclues.com/images/thumbnails/74177/200/200/121122790118221117MP0000000001445871348Wx2000H2016043019075514932774471497345404.jpg
Voltas VM-D55MW 55 L Desert Air Cooler,Rs.9090,shopclues.com,http://www.shopclues.com/voltas-desert-cooler-55l-vm-d55mw-55-ltr-desert-air-cooler-118221140.html,https://cdn.shopclues.com/images/thumbnails/69626/200/200/118221140vmd55mwvoltasoriginalimaesgb8vursaub81493277458.jpg
Kenstar GLAM 50R Air Cooler,Rs.10600,shopclues.com,http://www.shopclues.com/kenstar-glam-50r-air-cooler-120052420.html,https://cdn.shopclues.com/images/thumbnails/72474/200/200/120052420cooler146139245114885349731495696320.jpg
Voltas Personal Cooler 15L (VJ-P15MH),Rs.6500,shopclues.com,http://www.shopclues.com/voltas-personal-cooler-15l-vj-p15mh-118259822.html,https://cdn.shopclues.com/images/thumbnails/69676/200/200/1182598221482215509lVJP15MHlarge148413477214885366071493314056.jpg
Mini Portable Electric Evaporative fan type Air Cooler,Rs.4999,shopclues.com,http://www.shopclues.com/mini-portable-electric-evaporative-fan-type-air-cooler-121122546.html,https://cdn.shopclues.com/images/thumbnails/74176/200/200/121122546114900018381497344443.jpg
Maharaja Whiteline Thunder Plus White Air Coolers,Rs.7999,shopclues.com,http://www.shopclues.com/maharaja-whiteline-thunder-plus-white.html,https://cdn.shopclues.com/images/thumbnails/32264/200/200/89060287321021455695990.jpg
KENSTAR AIR COOLER NC TOWER GLAM 15 R REMOTE (KCT1RF4H-,Rs.7960,shopclues.com,http://www.shopclues.com/kenstar-air-cooler-nc-tower-glam-15-r-remote-kct1rf4h-eba-121122839.html,https://cdn.shopclues.com/images/thumbnails/74177/200/200/121122839115194450glam15r149009541914906148431497345544.png
Voltas Desert Cooler(VN-D50EH),Rs.13000,shopclues.com,http://www.shopclues.com/voltas-desert-cooler-vn-d50eh-117754183.html,https://cdn.shopclues.com/images/thumbnails/69024/200/200/1177541831457333004lVND50E148413471714885424171492887880.jpg
